iter	Logloss
210	0.3152140552
211	0.315109331
212	0.3150062239
213	0.3149325622
214	0.3148574943
215	0.3147111177
216	0.3146469642
217	0.3143424893
218	0.3142469119
219	0.3140830261
220	0.3139983148
221	0.3139340472
222	0.3138922135
223	0.3137600342
224	0.3136961046
225	0.3136195573
226	0.3135040204
227	0.3134256645
228	0.3133561476
229	0.3133013303
230	0.3132271599
231	0.3131734579
232	0.3130700351
233	0.3129640753
234	0.3128200449
235	0.3127669746
236	0.3126503168
237	0.3125966315
238	0.3125005597
239	0.3124481856
240	0.3122246081
241	0.3120848446
242	0.3119772061
243	0.3118389756
244	0.3117841605
245	0.3117012554
246	0.3114397701
247	0.3113881977
248	0.3112571555
249	0.3111949911
250	0.3109806317
251	0.3107746195
252	0.3106471763
253	0.3105427922
254	0.3104668047
255	0.3104297588
256	0.3103083027
257	0.3102250604
258	0.3101568844
259	0.3100900872
260	0.310070241
261	0.3098475994
262	0.3097938319
263	0.309717649
264	0.3096130905
265	0.3094842868
266	0.3094275224
267	0.3093563713
268	0.3091727787
269	0.3091151586
270	0.3090416679
271	0.3089845557
272	0.3088684058
273	0.3087992609
274	0.3086759591
275	0.308595471
276	0.3085358328
277	0.3084789045
278	0.3084034966
279	0.3083774842
280	0.308299506
281	0.308155245
282	0.3080830812
283	0.3080213689
284	0.3079431678
285	0.3078887334
286	0.3078092243
287	0.3077400316
288	0.3076672477
289	0.3075722922
290	0.3074485015
291	0.3073390655
292	0.3072755571
293	0.3072150738
294	0.3071651997
295	0.3071076863
296	0.3068907841
297	0.3068255974
298	0.3067716566
299	0.3066942997
300	0.3066525206
301	0.3065648947
302	0.3063686293
303	0.3063079048
304	0.306215922
305	0.3061276481
306	0.3059437777
307	0.3058538753
308	0.3057955744
309	0.3057357823
310	0.3055578335
311	0.3053680617
312	0.3052403745
313	0.3050703896
314	0.3050211404
315	0.3049203477
316	0.3047736686
317	0.3046698144
318	0.3045936172
319	0.3044823776
320	0.3044048347
321	0.3043122775
322	0.3041376497
323	0.3040404696
324	0.3039579593
325	0.303884686
326	0.3037947921
327	0.303708174
328	0.3035906383
329	0.3035034676
330	0.3033990621
331	0.3032954494
332	0.3032040919
333	0.303118116
334	0.3030696801
335	0.3029852216
336	0.3028930191
337	0.3028176116
338	0.3027354792
339	0.3026435027
340	0.3025342114
341	0.3024574984
342	0.3022898708
343	0.3022099521
344	0.3021119172
345	0.3020226511
346	0.3018056209
347	0.3017422191
348	0.3016492699
349	0.3014990309
350	0.3014099942
351	0.3013224597
352	0.3012213027
353	0.3011599798
354	0.3010874266
355	0.3010040801
356	0.3009216662
357	0.3008272916
358	0.300731352
359	0.3006779805
360	0.3006178363
361	0.3005252039
362	0.300434647
363	0.3003617349
364	0.300289541
365	0.3001532246
366	0.3000850153
367	0.3000254452
368	0.2999500433
369	0.2998458207
370	0.2998208143
371	0.2997427486
372	0.2995840611
373	0.2994993612
374	0.2994298108
375	0.2993754646
376	0.2992706204
377	0.2992376076
378	0.299150753
379	0.2990366996
380	0.2989835459
381	0.2988965994
382	0.2988131843
383	0.298768339
384	0.2987104454
385	0.2986157111
386	0.2985179482
387	0.2984431944
388	0.298389401
389	0.2983407798
390	0.2982356242
391	0.2981879817
392	0.2981045045
393	0.297978805
394	0.2979113316
395	0.2977607097
396	0.297654095
397	0.2975927114
398	0.2975137048
399	0.2973301495
400	0.2972903298
401	0.2971819263
402	0.2970102439
403	0.2968943957
404	0.2968396198
405	0.2967211064
406	0.2966928195
407	0.2966075633
408	0.2964842923
409	0.2964074162
410	0.2963120711
411	0.2962259626
412	0.2961601324
413	0.2960035131
414	0.2959563607
415	0.2958098688
416	0.2957144858
417	0.2956302174
418	0.2955318718
419	0.2954927926
420	0.2954571954
421	0.2953687768
422	0.2952606129
423	0.2951582487
424	0.2950977071
425	0.2950081363
426	0.2949248492
427	0.2947865282
428	0.2946881891
429	0.294636719
430	0.2945379999
431	0.294471156
432	0.2943419148
433	0.2942692818
434	0.2941761148
435	0.2940430138
436	0.2940179006
437	0.293952232
438	0.2938751335
439	0.2937875241
440	0.29370709
441	0.2936224527
442	0.2935322522
443	0.2934104483
444	0.2933592715
445	0.2932515748
446	0.2931395531
447	0.2931165204
448	0.2930523672
449	0.292953712
450	0.2928907226
451	0.2928792331
452	0.2927846445
453	0.2926636019
454	0.2925788647
455	0.2925304537
456	0.2924626076
457	0.2923699409
458	0.2922664227
459	0.2922414662
460	0.2921822604
461	0.2920848352
462	0.2920007367
463	0.2919268506
464	0.2918250588
465	0.2917586175
466	0.2916863257
467	0.2915980247
468	0.291585845
469	0.2915331426
470	0.2914652736
471	0.2913966854
472	0.2913315608
473	0.2912472212
474	0.2911496695
475	0.2910767085
476	0.2909993479
477	0.29090833
478	0.2908598923
479	0.2908134135
480	0.2907441722
481	0.2906693753
482	0.2906096289
483	0.2905234292
484	0.2904668148
485	0.2904315562
486	0.290377255
487	0.2903284923
488	0.2902674082
489	0.2902025848
490	0.2901453784
491	0.290079977
492	0.2900451129
493	0.2899675408
494	0.2898601754
495	0.2897820866
496	0.2897241081
497	0.2896360698
498	0.289593261
499	0.2895241603
500	0.2894784337
501	0.2894074736
502	0.2893534277
503	0.2892527158
504	0.2892327074
505	0.2891679577
506	0.2890844611
507	0.2890302926
508	0.2889872376
509	0.2889010639
510	0.2888136817
511	0.2887466593
512	0.2886765059
513	0.2886034361
514	0.2885349379
515	0.2884352104
516	0.2883622184
517	0.288301436
518	0.2882239189
519	0.288193851
520	0.2881290275
521	0.2880174593
522	0.2879072549
523	0.2878459702
524	0.2878159155
525	0.2877543478
526	0.287706428
527	0.287644469
528	0.28760212
529	0.2875368084
530	0.2874648354
531	0.2873920829
532	0.2873279226
533	0.2872747711
534	0.2872321819
535	0.2871669663
536	0.2871017389
537	0.2870435615
538	0.2869763973
539	0.2868749604
540	0.2868668247
541	0.2867820456
542	0.2867112708
543	0.2866164326
544	0.2865485812
545	0.2864772768
546	0.2864194469
547	0.2863583076
548	0.2862721208
549	0.2862198532
550	0.2861485538
551	0.2860906279
552	0.286028301
553	0.2859778919
554	0.285953011
555	0.2858733239
556	0.2858442402
557	0.2857738353
558	0.2857264368
559	0.2856558489
560	0.2855754098
561	0.2855404325
562	0.2854799359
563	0.2854396521
564	0.2853787358
565	0.2852810437
566	0.2852221362
567	0.2851765315
568	0.2850842406
569	0.2850368468
570	0.2849824402
571	0.2849494232
572	0.2847825652
573	0.2847364339
574	0.2846889378
575	0.2846009563
576	0.2845518164
577	0.2844684965
578	0.2844083095
579	0.2843447314
580	0.2842851586
581	0.284223219
582	0.2841697373
583	0.2841051598
584	0.2840339531
585	0.2839682269
586	0.283918467
587	0.2838232694
588	0.2837780256
589	0.2837078931
590	0.2835983986
591	0.2835221094
592	0.2834326836
593	0.2833730007
594	0.283342052
595	0.2833055695
596	0.2832449608
597	0.2831573265
598	0.2831048416
599	0.2830496182
600	0.2830053484
601	0.2829454333
602	0.2829086102
603	0.282841674
604	0.2827986136
605	0.2827420407
606	0.2826598019
607	0.2825237152
608	0.2824621463
609	0.2824145494
610	0.2823720084
611	0.2823298187
612	0.2822573542
613	0.2822051018
614	0.2821779745
615	0.2821221376
616	0.2820685521
617	0.2820093363
618	0.2819532637
619	0.2819058992
620	0.2818180534
621	0.2817792048
622	0.2817376245
623	0.2816679513
624	0.2816322238
625	0.2815874907
626	0.2815052923
627	0.2814479774
628	0.2814322636
629	0.2813805133
630	0.2813480704
631	0.281267016
632	0.2811676873
633	0.2811276799
634	0.2810760946
635	0.2809779783
636	0.2809306441
637	0.2808912266
638	0.28083765
639	0.280780834
640	0.2807257226
641	0.2806522504
642	0.2806164998
643	0.2805700694
644	0.2805205168
645	0.280474707
646	0.2804225949
647	0.2803548292
648	0.28031111
649	0.2802332007
650	0.2801241707
651	0.2800671999
652	0.2800291212
653	0.2799774503
654	0.279929679
655	0.2798742794
656	0.2797718526
657	0.2797177432
658	0.2796256785
659	0.2795792052
660	0.2795345886
661	0.2794824316
662	0.2794299521
663	0.2793930481
664	0.2793132108
665	0.2792761586
666	0.2792258992
667	0.2791604202
668	0.2790991974
669	0.2790484679
670	0.2789252495
671	0.2788450458
672	0.2787701496
673	0.2787210841
674	0.2786682248
675	0.2786252858
676	0.2785302145
677	0.2784657083
678	0.2783999365
679	0.2783586374
680	0.2782700923
681	0.2782274061
682	0.278193429
683	0.2781507878
684	0.2780735758
685	0.2780096809
686	0.277965251
687	0.2779011313
688	0.2778446121
689	0.2777986872
690	0.2777658778
691	0.2777218259
692	0.2776768594
693	0.277651028
694	0.2776007323
695	0.2775734517
696	0.2775015209
697	0.2774424399
698	0.2773855048
699	0.27735203
700	0.2773014554
701	0.2772384135
702	0.2771482357
703	0.2771054181
704	0.2770598652
705	0.2770120488
706	0.2769539929
707	0.2768977133
708	0.2768406186
709	0.2767703045
710	0.2767088222
711	0.276652702
712	0.2765829364
713	0.2765253908
714	0.2764745595
715	0.2764204499
716	0.276339413
717	0.2762540506
718	0.2761936319
719	0.2761261044
720	0.2760550288
721	0.2760264277
722	0.2759394754
723	0.2758607026
724	0.2758012899
725	0.2757650931
726	0.2757255221
727	0.2756691663
728	0.2756102674
729	0.2755616643
730	0.2755143439
731	0.2754532777
732	0.2753822865
733	0.2753366026
734	0.2752737548
735	0.2752266796
736	0.2751557704
737	0.275070688
738	0.2750140935
739	0.2749753237
740	0.2749449979
741	0.2748820953
742	0.2748240711
743	0.2747797351
744	0.2747412111
745	0.2746714913
746	0.2745394103
747	0.2744790339
748	0.2744418905
749	0.2744050422
750	0.2743481294
751	0.2743133199
752	0.2742435302
753	0.2741954698
754	0.2741312303
755	0.2740547682
756	0.2740041293
757	0.2739582621
758	0.2739062858
759	0.2738604627
760	0.2738313737
761	0.2737684206
762	0.2737205424
763	0.273679806
764	0.2736209622
765	0.2735710061
766	0.2735321335
767	0.2734929956
768	0.2734239026
769	0.2733567637
770	0.2732877063
771	0.273246568
772	0.2732043132
773	0.2731581792
774	0.2731185861
775	0.273068389
776	0.272976514
777	0.2729364233
778	0.272888809
779	0.2728284046
780	0.2727737892
781	0.2727164514
782	0.2726792575
783	0.2726324253
784	0.2725570828
785	0.2724921648
786	0.2724471852
787	0.2723938834
788	0.2723258859
789	0.2722373001
790	0.2721948845
791	0.2721475509
792	0.2720848474
793	0.2720248676
794	0.2719627267
795	0.2719179423
796	0.2718496031
797	0.2717952247
798	0.2717541049
799	0.271705778
